tissue,stressor,module,feature_name,feature_type,mean_score,median_score,sign_concordance,n_contrasts,n_panel_genes,n_measured,label,evidence_tier,source,anchor_note,light_dependent_rewiring
root,NMF,ABA metabolism,ABA_biosynthesis,pathway_score,,,0.0,7.0,8.0,1.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,ABA metabolism,ABA_signaling,pathway_score,,,0.0,7.0,16.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone transport,Auxin_transporters_ABCB,pathway_score,,,0.0,7.0,3.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,,,0.0,7.0,3.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone transport,Auxin_transporters_PIN,pathway_score,,,0.0,7.0,7.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,DNA repair,Base excision repair,pathway_score,,,0.0,7.0,50.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,,,0.0,7.0,70.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Circadian,Circadian rhythm - plant,pathway_score,,,0.0,7.0,43.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Circadian,Circadian_core,pathway_score,,,0.0,7.0,14.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,GA metabolism,Diterpenoid biosynthesis (GA biosynthesis),pathway_score,0.3883,0.4244,1.0,7.0,25.0,6.0,activated,T1,pathway_scores_all.csv,+0.537@1h,False
root,NMF,DNA repair,Fanconi anemia pathway,pathway_score,,,0.0,7.0,46.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,GA metabolism,GA_biosynthesis,pathway_score,0.2353,0.2752,0.857,7.0,17.0,5.0,modestly_activated,T1,pathway_scores_all.csv,+0.438@1h,False
root,NMF,GA metabolism,GA_core_NMF,pathway_score,0.3291,0.3011,1.0,7.0,3.0,3.0,activated,T1,pathway_scores_all.csv,+0.475@1h,False
root,NMF,GA metabolism,GA_signaling,pathway_score,,,0.0,7.0,10.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Secondary metabolism,Glucosinolate biosynthesis,pathway_score,,,0.0,7.0,26.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,,,0.0,7.0,80.0,1.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Gravitropism,Gravitropism,pathway_score,,,0.0,7.0,9.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,DNA repair,Homologous recombination,pathway_score,,,0.0,7.0,60.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone transport,Hormone_transporters_ABCG,pathway_score,,,0.0,7.0,5.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone transport,Hormone_transporters_NPF,pathway_score,,,0.0,7.0,6.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone transport,Hub_transporter_core,pathway_score,,,0.0,7.0,5.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,DNA repair,Mismatch repair,pathway_score,,,0.0,7.0,32.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,DNA repair,Non-homologous end-joining,pathway_score,,,0.0,7.0,8.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,DNA repair,Nucleotide excision repair,pathway_score,,,0.0,7.0,85.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Light perception,Photoreceptors,pathway_score,,,0.0,7.0,10.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Photosynthesis,Photosynthesis,pathway_score,,,0.0,7.0,46.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,,,0.0,7.0,22.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,Hormone signaling,Plant hormone signal transduction,pathway_score,,,0.0,7.0,433.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,NMF,ROS metabolism,ROS_core_NMF,pathway_score,0.1664,0.183,1.0,7.0,10.0,9.0,modestly_activated,T1,pathway_scores_all.csv,+0.236@96h,False
root,NMF,ROS metabolism,ROS_scavenging,pathway_score,0.0749,0.083,1.0,7.0,24.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.130@2h,False
root,NMF,Hormone transport,Sugar_transporters_SWEET,pathway_score,,,0.0,7.0,11.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
root,µg,ABA metabolism,ABA_biosynthesis,pathway_score,0.3023,0.3023,1.0,2.0,8.0,7.0,activated,T1,pathway_scores_all.csv,+0.562@Dark,False
root,µg,ABA metabolism,ABA_signaling,pathway_score,0.5168,0.5168,1.0,2.0,16.0,15.0,activated,T1,pathway_scores_all.csv,+0.807@Dark,False
root,µg,Hormone transport,Auxin_transporters_ABCB,pathway_score,0.2561,0.2561,0.5,2.0,3.0,3.0,rewired,T1,pathway_scores_all.csv,+1.263@Dark,True
root,µg,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,-0.1637,-0.1637,0.5,2.0,3.0,3.0,rewired,T1,pathway_scores_all.csv,-0.369@Dark,False
root,µg,Hormone transport,Auxin_transporters_PIN,pathway_score,-0.4603,-0.4603,1.0,2.0,7.0,6.0,suppressed,T1,pathway_scores_all.csv,-0.612@Light,False
root,µg,DNA repair,Base excision repair,pathway_score,-0.139,-0.139,1.0,2.0,50.0,50.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.152@Light,False
root,µg,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,-0.0986,-0.0986,0.5,2.0,70.0,70.0,rewired,T1,pathway_scores_all.csv,-0.460@Light,False
root,µg,Circadian,Circadian rhythm - plant,pathway_score,-0.2349,-0.2349,0.5,2.0,43.0,42.0,rewired,T1,pathway_scores_all.csv,-0.572@Light,False
root,µg,Circadian,Circadian_core,pathway_score,-0.0197,-0.0197,0.5,2.0,14.0,14.0,rewired,T1,pathway_scores_all.csv,-0.288@Light,False
root,µg,GA metabolism,Diterpenoid biosynthesis (GA biosynthesis),pathway_score,0.2491,0.2491,1.0,2.0,25.0,19.0,modestly_activated,T1,pathway_scores_all.csv,+0.425@Dark,False
root,µg,DNA repair,Fanconi anemia pathway,pathway_score,-0.1462,-0.1462,0.5,2.0,46.0,45.0,rewired,T1,pathway_scores_all.csv,-0.329@Dark,False
root,µg,GA metabolism,GA_biosynthesis,pathway_score,0.311,0.311,1.0,2.0,17.0,13.0,activated,T1,pathway_scores_all.csv,+0.436@Dark,False
root,µg,GA metabolism,GA_core_NMF,pathway_score,-0.0412,-0.0412,0.5,2.0,3.0,3.0,rewired,T1,pathway_scores_all.csv,-0.207@Light,False
root,µg,GA metabolism,GA_signaling,pathway_score,0.0219,0.0219,0.5,2.0,10.0,10.0,rewired,T1,pathway_scores_all.csv,+0.179@Light,False
root,µg,Secondary metabolism,Glucosinolate biosynthesis,pathway_score,0.0821,0.0821,0.5,2.0,26.0,23.0,rewired,T1,pathway_scores_all.csv,+0.704@Light,True
root,µg,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,-0.2177,-0.2177,1.0,2.0,80.0,78.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.353@Light,False
root,µg,Gravitropism,Gravitropism,pathway_score,-0.0052,-0.0052,0.5,2.0,9.0,8.0,rewired,T1,pathway_scores_all.csv,-0.012@Dark,False
root,µg,DNA repair,Homologous recombination,pathway_score,-0.0724,-0.0724,0.5,2.0,60.0,57.0,rewired,T1,pathway_scores_all.csv,-0.224@Dark,False
root,µg,Hormone transport,Hormone_transporters_ABCG,pathway_score,0.1597,0.1597,0.5,2.0,5.0,5.0,rewired,T1,pathway_scores_all.csv,+0.354@Light,False
root,µg,Hormone transport,Hormone_transporters_NPF,pathway_score,-0.1375,-0.1375,0.5,2.0,6.0,4.0,rewired,T1,pathway_scores_all.csv,-0.277@Light,False
root,µg,Hormone transport,Hub_transporter_core,pathway_score,0.2234,0.2234,0.5,2.0,5.0,4.0,rewired,T1,pathway_scores_all.csv,+0.496@Dark,False
root,µg,DNA repair,Mismatch repair,pathway_score,-0.0805,-0.0805,0.5,2.0,32.0,32.0,rewired,T1,pathway_scores_all.csv,-0.198@Dark,False
root,µg,DNA repair,Non-homologous end-joining,pathway_score,-0.1899,-0.1899,1.0,2.0,8.0,8.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.365@Dark,False
root,µg,DNA repair,Nucleotide excision repair,pathway_score,-0.1102,-0.1102,1.0,2.0,85.0,81.0,modestly_suppressed,T1,pathway_scores_all.csv,-0.171@Light,False
root,µg,Light perception,Photoreceptors,pathway_score,0.1136,0.1136,1.0,2.0,10.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.142@Light,False
root,µg,Photosynthesis,Photosynthesis,pathway_score,-0.0722,-0.0722,0.5,2.0,46.0,46.0,rewired,T1,pathway_scores_all.csv,-1.520@Light,True
root,µg,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,-0.6749,-0.6749,0.5,2.0,22.0,20.0,rewired,T1,pathway_scores_all.csv,-1.777@Light,True
root,µg,Hormone signaling,Plant hormone signal transduction,pathway_score,0.1131,0.1131,0.5,2.0,433.0,369.0,rewired,T1,pathway_scores_all.csv,+0.314@Dark,False
root,µg,ROS metabolism,ROS_core_NMF,pathway_score,0.1501,0.1501,0.5,2.0,10.0,9.0,rewired,T1,pathway_scores_all.csv,+0.651@Dark,True
root,µg,ROS metabolism,ROS_scavenging,pathway_score,0.1634,0.1634,0.5,2.0,24.0,22.0,rewired,T1,pathway_scores_all.csv,+0.343@Dark,False
root,µg,Hormone transport,Sugar_transporters_SWEET,pathway_score,2.5531,2.5531,1.0,2.0,11.0,7.0,activated,T1,pathway_scores_all.csv,+4.235@Dark,False
shoot,NMF,ABA metabolism,ABA_biosynthesis,pathway_score,,,0.0,7.0,8.0,1.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,ABA metabolism,ABA_signaling,pathway_score,,,0.0,7.0,16.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Auxin_transporters_ABCB,pathway_score,,,0.0,7.0,3.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,,,0.0,7.0,3.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Auxin_transporters_PIN,pathway_score,,,0.0,7.0,7.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Base excision repair,pathway_score,,,0.0,7.0,50.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,,,0.0,7.0,70.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Circadian,Circadian rhythm - plant,pathway_score,,,0.0,7.0,43.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Circadian,Circadian_core,pathway_score,,,0.0,7.0,14.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,GA metabolism,Diterpenoid biosynthesis (GA biosynthesis),pathway_score,0.5639,0.5896,1.0,7.0,25.0,6.0,activated,T1,pathway_scores_all.csv,+0.825@48h,False
shoot,NMF,DNA repair,Fanconi anemia pathway,pathway_score,,,0.0,7.0,46.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,GA metabolism,GA_biosynthesis,pathway_score,0.4593,0.434,1.0,7.0,17.0,5.0,activated,T1,pathway_scores_all.csv,+0.721@96h,False
shoot,NMF,GA metabolism,GA_core_NMF,pathway_score,0.3942,0.4732,0.857,7.0,3.0,3.0,activated,T1,pathway_scores_all.csv,+0.780@96h,False
shoot,NMF,GA metabolism,GA_signaling,pathway_score,,,0.0,7.0,10.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Secondary metabolism,Glucosinolate biosynthesis,pathway_score,,,0.0,7.0,26.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photorespiration,Glyoxylate and dicarboxylate metabolism (incl. photorespiration),pathway_score,,,0.0,7.0,80.0,1.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Gravitropism,Gravitropism,pathway_score,,,0.0,7.0,9.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Homologous recombination,pathway_score,,,0.0,7.0,60.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Hormone_transporters_ABCG,pathway_score,,,0.0,7.0,5.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Hormone_transporters_NPF,pathway_score,,,0.0,7.0,6.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone transport,Hub_transporter_core,pathway_score,,,0.0,7.0,5.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Mismatch repair,pathway_score,,,0.0,7.0,32.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Non-homologous end-joining,pathway_score,,,0.0,7.0,8.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,DNA repair,Nucleotide excision repair,pathway_score,,,0.0,7.0,85.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Light perception,Photoreceptors,pathway_score,,,0.0,7.0,10.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photosynthesis,Photosynthesis,pathway_score,,,0.0,7.0,46.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Photosynthesis,Photosynthesis - antenna proteins,pathway_score,,,0.0,7.0,22.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,Hormone signaling,Plant hormone signal transduction,pathway_score,,,0.0,7.0,433.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,NMF,ROS metabolism,ROS_core_NMF,pathway_score,0.2211,0.2135,1.0,7.0,10.0,9.0,modestly_activated,T1,pathway_scores_all.csv,+0.425@4h,False
shoot,NMF,ROS metabolism,ROS_scavenging,pathway_score,0.1811,0.1653,1.0,7.0,24.0,10.0,modestly_activated,T1,pathway_scores_all.csv,+0.371@4h,False
shoot,NMF,Hormone transport,Sugar_transporters_SWEET,pathway_score,,,0.0,7.0,11.0,0.0,no_coverage,T1,pathway_scores_all.csv,,False
shoot,µg,ABA metabolism,ABA_biosynthesis,pathway_score,0.3821,0.3821,0.5,2.0,8.0,7.0,rewired,T1,pathway_scores_all.csv,+1.407@Dark,True
shoot,µg,ABA metabolism,ABA_signaling,pathway_score,0.3301,0.3301,0.5,2.0,16.0,15.0,n.s.,T1,pathway_scores_all.csv,+0.827@Light,False
shoot,µg,Hormone transport,Auxin_transporters_ABCB,pathway_score,0.6272,0.6272,0.5,2.0,3.0,3.0,rewired,T1,pathway_scores_all.csv,+1.295@Dark,True
shoot,µg,Hormone transport,Auxin_transporters_AUX_LAX,pathway_score,-0.4756,-0.4756,1.0,2.0,3.0,3.0,suppressed,T1,pathway_scores_all.csv,-0.552@Light,False
shoot,µg,Hormone transport,Auxin_transporters_PIN,pathway_score,-1.0265,-1.0265,1.0,2.0,7.0,7.0,suppressed,T1,pathway_scores_all.csv,-1.656@Light,False
shoot,µg,DNA repair,Base excision repair,pathway_score,-0.3214,-0.3214,1.0,2.0,50.0,50.0,suppressed,T1,pathway_scores_all.csv,-0.526@Light,False
shoot,µg,Photosynthesis,Carbon fixation in photosynthetic organisms,pathway_score,-0.1943,-0.1943,0.5,2.0,70.0,70.0,rewired,T1,pathway_scores_all.csv,-0.548@Light,False
