compound,tissue,time,GMF_mean,NNMF_mean,ratio_NNMF_over_GMF,log2_ratio
daidzein.galactoside,root,24h,0.554,0.772,1.3935,0.4787
daidzein.galactoside,root,48h,0.389,0.867,2.2288,1.1563
daidzein.galactoside,root,96h,0.533,0.822,1.5422,0.625
daidzein.galactoside,leaf,24h,0.922,7.877,8.5434,3.0948
daidzein.galactoside,leaf,48h,4.036,11.942,2.9589,1.565
daidzein.galactoside,leaf,96h,0.415,0.167,0.4024,-1.3133
genistein.galactoside,leaf,24h,0.286,0.187,0.6538,-0.613
genistein.galactoside,leaf,48h,0.288,0.242,0.8403,-0.2511
genistein.galactoside,leaf,96h,0.12,0.026,0.2167,-2.2065
dihydrogenistein.galactoside,leaf,24h,0.077,0.445,5.7792,2.5309
dihydrogenistein.galactoside,leaf,48h,0.54,0.068,0.1259,-2.9894
dihydrogenistein.galactoside,leaf,96h,0.028,0.024,0.8571,-0.2224
unknown1,root,24h,3.143,5.383,1.7127,0.7763
unknown1,root,48h,4.93,8.903,1.8059,0.8527
unknown1,root,96h,4.036,2.083,0.5161,-0.9543
unknown1,leaf,24h,7.042,10.842,1.5396,0.6226
unknown1,leaf,48h,17.703,26.912,1.5202,0.6043
unknown1,leaf,96h,38.488,3.962,0.1029,-3.2801
genistein.glucoside,leaf,24h,0.218,0.311,1.4266,0.5126
genistein.glucoside,leaf,48h,0.72,1.447,2.0097,1.007
genistein.glucoside,leaf,96h,0.104,0.091,0.875,-0.1926
dihydrogenistein.glucoside,leaf,24h,0.13,0.47,3.6154,1.8541
dihydrogenistein.glucoside,leaf,48h,0.24,0.347,1.4458,0.5319
dihydrogenistein.glucoside,leaf,96h,0.026,0.023,0.8846,-0.1769
dihydrogenistein.glucuronide,root,24h,0.101,0.329,3.2574,1.7037
dihydrogenistein.glucuronide,root,48h,0.158,0.645,4.0823,2.0294
dihydrogenistein.glucuronide,root,96h,0.15,0.507,3.38,1.757
dihydrogenistein.glucuronide,leaf,24h,0.6,0.414,0.69,-0.5353
dihydrogenistein.glucuronide,leaf,48h,1.093,2.48,2.269,1.182
dihydrogenistein.glucuronide,leaf,96h,0.443,0.317,0.7156,-0.4828
dihydrokaempferol.glucoside,leaf,24h,1.387,1.902,1.3713,0.4555
dihydrokaempferol.glucoside,leaf,48h,1.933,2.915,1.508,0.5927
dihydrokaempferol.glucoside,leaf,96h,0.332,0.281,0.8464,-0.2406
daidzein.glucoside,root,24h,0.556,0.752,1.3525,0.4356
daidzein.glucoside,root,48h,0.35,1.047,2.9914,1.5808
daidzein.glucoside,root,96h,1.113,0.695,0.6244,-0.6794
daidzein.glucoside,leaf,24h,2.747,5.863,2.1343,1.0938
daidzein.glucoside,leaf,48h,1.939,5.866,3.0253,1.5971
daidzein.glucoside,leaf,96h,0.724,0.481,0.6644,-0.59
Dihydromyricetin.diglucoside,root,24h,0.237,0.526,2.2194,1.1502
Dihydromyricetin.diglucoside,root,48h,0.495,2.228,4.501,2.1702
Dihydromyricetin.diglucoside,root,96h,0.544,0.258,0.4743,-1.0762
Dihydromyricetin.diglucoside,leaf,24h,2.108,6.56,3.112,1.6378
Dihydromyricetin.diglucoside,leaf,48h,2.806,4.074,1.4519,0.5379
Dihydromyricetin.diglucoside,leaf,96h,1.243,0.763,0.6138,-0.7041
quercetin.rutinoside,root,24h,0.244,1.737,7.1189,2.8316
quercetin.rutinoside,root,48h,1.782,1.938,1.0875,0.1211
quercetin.rutinoside,root,96h,0.131,0.048,0.3664,-1.4485
quercetin.rutinoside,leaf,24h,25.062,30.575,1.22,0.2869
quercetin.rutinoside,leaf,48h,63.335,120.489,1.9024,0.9278
quercetin.rutinoside,leaf,96h,21.619,5.882,0.2721,-1.8779
dyhydroquercetin.rutinoside,root,24h,0.114,0.216,1.8947,0.922
dyhydroquercetin.rutinoside,root,48h,1.916,0.607,0.3168,-1.6583
dyhydroquercetin.rutinoside,root,96h,0.159,0.75,4.717,2.2379
dyhydroquercetin.rutinoside,leaf,24h,8.435,6.442,0.7637,-0.3889
dyhydroquercetin.rutinoside,leaf,48h,18.046,16.422,0.91,-0.136
dyhydroquercetin.rutinoside,leaf,96h,7.798,1.845,0.2366,-2.0795
dihydrohesperetin.neohesperidoside,leaf,24h,0.397,12.575,31.6751,4.9853
dihydrohesperetin.neohesperidoside,leaf,48h,7.0,10.426,1.4894,0.5748
dihydrohesperetin.neohesperidoside,leaf,96h,0.297,0.08,0.2694,-1.8924
kaempherol.rutinoside,root,24h,6.388,13.957,2.1849,1.1276
kaempherol.rutinoside,root,48h,14.025,38.135,2.7191,1.4431
kaempherol.rutinoside,root,96h,9.575,9.545,0.9969,-0.0045
kaempherol.rutinoside,leaf,24h,17.536,15.332,0.8743,-0.1938
kaempherol.rutinoside,leaf,48h,11.32,8.638,0.7631,-0.3901
kaempherol.rutinoside,leaf,96h,8.042,8.478,1.0542,0.0762
quercetin.sambubioside,root,24h,2.496,5.308,2.1266,1.0886
quercetin.sambubioside,root,48h,4.722,19.887,4.2116,2.0744
quercetin.sambubioside,root,96h,3.486,2.881,0.8264,-0.275
quercetin.sambubioside,leaf,24h,3.11,14.357,4.6164,2.2068
quercetin.sambubioside,leaf,48h,7.835,17.898,2.2844,1.1918
quercetin.sambubioside,leaf,96h,1.563,0.765,0.4894,-1.0308
Quercetin.dirhamnopyranoside,root,24h,0.864,6.782,7.8495,2.9726
Quercetin.dirhamnopyranoside,root,48h,7.843,22.775,2.9039,1.538
Quercetin.dirhamnopyranoside,root,96h,1.309,1.275,0.974,-0.038
Quercetin.dirhamnopyranoside,leaf,24h,40.218,37.556,0.9338,-0.0988
Quercetin.dirhamnopyranoside,leaf,48h,12.393,36.02,2.9065,1.5393
Quercetin.dirhamnopyranoside,leaf,96h,18.352,12.712,0.6927,-0.5297
dyhydroquercetin.sambubioside,root,24h,0.179,0.572,3.1955,1.6761
dyhydroquercetin.sambubioside,root,48h,0.16,0.865,5.4062,2.4346
dyhydroquercetin.sambubioside,root,96h,0.171,0.058,0.3392,-1.5599
dyhydroquercetin.sambubioside,leaf,24h,2.611,8.627,3.3041,1.7243
dyhydroquercetin.sambubioside,leaf,48h,3.75,13.646,3.6389,1.8635
dyhydroquercetin.sambubioside,leaf,96h,1.043,0.425,0.4075,-1.2952
isorhamnetin.rutinoside,root,24h,2.188,3.366,1.5384,0.6214
isorhamnetin.rutinoside,root,48h,3.654,11.185,3.061,1.614
isorhamnetin.rutinoside,root,96h,3.536,1.888,0.5339,-0.9053
isorhamnetin.rutinoside,leaf,24h,3.735,8.589,2.2996,1.2014
isorhamnetin.rutinoside,leaf,48h,23.404,55.723,2.3809,1.2515
isorhamnetin.rutinoside,leaf,96h,5.311,2.146,0.4041,-1.3073
myrcetin.rutinoside,root,24h,0.931,1.146,1.2309,0.2998
myrcetin.rutinoside,root,48h,1.176,3.819,3.2474,1.6993
myrcetin.rutinoside,root,96h,1.002,1.074,1.0719,0.1001
myrcetin.rutinoside,leaf,24h,1.128,4.59,4.0691,2.0247
myrcetin.rutinoside,leaf,48h,8.402,18.566,2.2097,1.1439
myrcetin.rutinoside,leaf,96h,1.85,0.693,0.3746,-1.4166
dihydroquercetin.galactoside,root,24h,0.349,0.412,1.1805,0.2394
dihydroquercetin.galactoside,root,48h,0.93,3.322,3.572,1.8367
dihydroquercetin.galactoside,root,96h,0.755,0.451,0.5974,-0.7433
dihydroquercetin.galactoside,leaf,24h,0.616,2.349,3.8133,1.931
dihydroquercetin.galactoside,leaf,48h,1.646,2.251,1.3676,0.4516
dihydroquercetin.galactoside,leaf,96h,0.483,0.566,1.1718,0.2288
kaempherol.sambubioside,leaf,24h,14.141,55.349,3.9141,1.9687
kaempherol.sambubioside,leaf,48h,27.925,67.739,2.4257,1.2784
kaempherol.sambubioside,leaf,96h,3.864,2.516,0.6511,-0.619
dihydromyricetin.sambubioside,leaf,24h,2.933,4.176,1.4238,0.5097
dihydromyricetin.sambubioside,leaf,48h,2.643,16.217,6.1358,2.6173
dihydromyricetin.sambubioside,leaf,96h,1.287,0.864,0.6713,-0.5749
myrcetin.diglucoside,leaf,24h,6.276,7.574,1.2068,0.2712
myrcetin.diglucoside,leaf,48h,4.5,9.579,2.1287,1.09
myrcetin.diglucoside,leaf,96h,0.888,3.034,3.4167,1.7726
isorhamnetin.sambubioside,root,24h,0.304,1.237,4.0691,2.0247
isorhamnetin.sambubioside,root,48h,0.198,1.028,5.1919,2.3763
isorhamnetin.sambubioside,root,96h,0.067,0.093,1.3881,0.4731
isorhamnetin.sambubioside,leaf,24h,10.607,34.978,3.2976,1.7214
isorhamnetin.sambubioside,leaf,48h,19.258,45.61,2.3684,1.2439
isorhamnetin.sambubioside,leaf,96h,3.683,2.103,0.571,-0.8084
quercetin.rhamnoside,root,24h,0.218,0.371,1.7018,0.7671
quercetin.rhamnoside,root,48h,0.075,0.889,11.8533,3.5672
quercetin.rhamnoside,root,96h,1.654,0.323,0.1953,-2.3564
quercetin.rhamnoside,leaf,24h,5.851,6.369,1.0885,0.1224
quercetin.rhamnoside,leaf,48h,2.676,7.471,2.7919,1.4812
quercetin.rhamnoside,leaf,96h,0.431,0.491,1.1392,0.188
daidzein.glucuronide,root,24h,1.474,2.785,1.8894,0.9179
daidzein.glucuronide,root,48h,1.438,5.838,4.0598,2.0214
daidzein.glucuronide,root,96h,1.2,0.744,0.62,-0.6897
daidzein.glucuronide,leaf,24h,2.54,0.948,0.3732,-1.4219
daidzein.glucuronide,leaf,48h,8.181,2.868,0.3506,-1.5122
daidzein.glucuronide,leaf,96h,0.881,0.653,0.7412,-0.4321
dihydroquercetin.glucoside,root,24h,0.833,2.114,2.5378,1.3436
dihydroquercetin.glucoside,root,48h,1.193,6.38,5.3479,2.419
dihydroquercetin.glucoside,root,96h,0.577,0.957,1.6586,0.7299
dihydroquercetin.glucoside,leaf,24h,0.576,2.942,5.1076,2.3527
dihydroquercetin.glucoside,leaf,48h,5.394,0.906,0.168,-2.5738
dihydroquercetin.glucoside,leaf,96h,0.519,0.622,1.1985,0.2612
unknown2,root,24h,21.634,40.289,1.8623,0.8971
unknown2,root,48h,0.42,1.013,2.4119,1.2702
unknown2,root,96h,5.068,1.306,0.2577,-1.9563
unknown2,leaf,24h,11.288,3.056,0.2707,-1.8851
unknown2,leaf,48h,6.244,1.651,0.2644,-1.9191
unknown2,leaf,96h,1.699,10.085,5.9358,2.5695
dyhydromyrcetin.galactoside,root,24h,5.699,11.126,1.9523,0.9652
dyhydromyrcetin.galactoside,root,48h,6.479,14.913,2.3017,1.2027
dyhydromyrcetin.galactoside,root,96h,13.564,3.369,0.2484,-2.0094
dyhydromyrcetin.galactoside,leaf,24h,3.122,1.956,0.6265,-0.6746
dyhydromyrcetin.galactoside,leaf,48h,13.985,2.881,0.206,-2.2792
dyhydromyrcetin.galactoside,leaf,96h,4.753,2.732,0.5748,-0.7989
quercetin.galactoside,root,24h,1.297,2.508,1.9337,0.9514
quercetin.galactoside,root,48h,0.115,0.777,6.7565,2.7563
quercetin.galactoside,root,96h,0.624,0.361,0.5785,-0.7895
isorhamnetin.galactoside,root,24h,0.309,2.656,8.5955,3.1036
isorhamnetin.galactoside,root,48h,0.37,1.493,4.0351,2.0126
isorhamnetin.galactoside,root,96h,1.2,0.654,0.545,-0.8757
dyhydromyrcetin.rutinoside,leaf,24h,1.205,2.256,1.8722,0.9047
dyhydromyrcetin.rutinoside,leaf,48h,2.879,3.502,1.2164,0.2826
dyhydromyrcetin.rutinoside,leaf,96h,0.418,0.426,1.0191,0.0274
isorhamnetin.glucoside,root,24h,0.414,0.257,0.6208,-0.6879
isorhamnetin.glucoside,root,48h,0.432,1.3,3.0093,1.5894
isorhamnetin.glucoside,root,96h,0.762,0.487,0.6391,-0.6459
quercetin.glucoside,root,24h,0.657,0.383,0.583,-0.7785
quercetin.glucoside,root,48h,0.11,0.999,9.0818,3.183
quercetin.glucoside,root,96h,0.657,0.291,0.4429,-1.1749
dihydroquercetin.diglucoside,leaf,24h,1.296,38.918,30.0293,4.9083
dihydroquercetin.diglucoside,leaf,48h,9.255,26.138,2.8242,1.4978
dihydroquercetin.diglucoside,leaf,96h,1.747,1.228,0.7029,-0.5086
dyhydromyrcetin.glucoside,root,24h,0.222,0.387,1.7432,0.8018
dyhydromyrcetin.glucoside,root,48h,1.135,1.681,1.4811,0.5666
dyhydromyrcetin.glucoside,root,96h,0.692,1.567,2.2645,1.1792
dyhydromyrcetin.glucoside,leaf,24h,0.629,2.033,3.2321,1.6925
dyhydromyrcetin.glucoside,leaf,48h,1.716,2.346,1.3671,0.4512
dyhydromyrcetin.glucoside,leaf,96h,0.194,0.349,1.799,0.8472
dyhydromyrcetin.rhamnoside,root,24h,1.91,3.255,1.7042,0.7691
dyhydromyrcetin.rhamnoside,root,48h,0.889,2.723,3.063,1.6149
dyhydromyrcetin.rhamnoside,root,96h,2.093,1.921,0.9178,-0.1237
dyhydromyrcetin.rhamnoside,leaf,24h,3.817,18.651,4.8863,2.2887
dyhydromyrcetin.rhamnoside,leaf,48h,13.67,19.957,1.4599,0.5459
dyhydromyrcetin.rhamnoside,leaf,96h,0.61,1.21,1.9836,0.9881
genistein,root,24h,2.906,4.122,1.4184,0.5043
genistein,root,48h,3.287,9.179,2.7925,1.4816
genistein,root,96h,4.417,5.152,1.1664,0.2221
genistein,leaf,24h,9.158,37.974,4.1465,2.0519
genistein,leaf,48h,22.701,34.798,1.5329,0.6162
genistein,leaf,96h,6.339,7.459,1.1767,0.2347
daidzein,root,24h,0.783,6.711,8.5709,3.0994
daidzein,root,48h,3.64,9.676,2.6582,1.4105
daidzein,root,96h,9.449,7.521,0.796,-0.3292
daidzein,leaf,24h,1.856,3.85,2.0744,1.0527
daidzein,leaf,48h,4.258,14.639,3.438,1.7816
daidzein,leaf,96h,19.103,4.386,0.2296,-2.1228
kaempherol,leaf,24h,4.054,18.787,4.6342,2.2123
kaempherol,leaf,48h,9.683,18.453,1.9057,0.9303
kaempherol,leaf,96h,3.885,0.829,0.2134,-2.2285
dihydrogenistein,root,24h,2.12,8.793,4.1476,2.0523
dihydrogenistein,root,48h,0.948,6.155,6.4926,2.6988
dihydrogenistein,root,96h,7.376,3.579,0.4852,-1.0433
dihydrogenistein,leaf,24h,7.834,32.542,4.1539,2.0545
dihydrogenistein,leaf,48h,23.728,38.572,1.6256,0.701
dihydrogenistein,leaf,96h,1.52,0.687,0.452,-1.1457
dihydrokaempferol,leaf,24h,1.794,13.202,7.359,2.8795
dihydrokaempferol,leaf,48h,10.603,14.393,1.3574,0.4409
dihydrokaempferol,leaf,96h,1.178,24.02,20.3905,4.3498
quercetin,root,24h,3.259,4.109,1.2608,0.3344
quercetin,root,48h,1.257,1.655,1.3166,0.3968
quercetin,root,96h,3.907,2.051,0.525,-0.9297
quercetin,leaf,24h,0.563,4.69,8.3304,3.0584
quercetin,leaf,48h,0.824,4.626,5.6141,2.489
quercetin,leaf,96h,1.152,1.66,1.441,0.527
myrcetin,root,24h,45.521,75.51,1.6588,0.7301
myrcetin,root,48h,10.801,81.156,7.5137,2.9095
myrcetin,root,96h,25.959,21.578,0.8312,-0.2667
myrcetin,leaf,24h,11.906,55.793,4.6861,2.2284
myrcetin,leaf,48h,42.007,65.23,1.5528,0.6349
myrcetin,leaf,96h,10.097,4.993,0.4945,-1.0159
isorhamnetin,root,24h,1.227,2.119,1.727,0.7882
isorhamnetin,root,48h,0.587,1.321,2.2504,1.1702
isorhamnetin,root,96h,16.277,13.013,0.7995,-0.3229
isorhamnetin,leaf,24h,33.731,157.631,4.6732,2.2244
isorhamnetin,leaf,48h,114.185,184.105,1.6123,0.6892
isorhamnetin,leaf,96h,28.523,12.893,0.452,-1.1455
dihydroquercetin,leaf,24h,7.194,28.319,3.9365,1.9769
dihydroquercetin,leaf,48h,22.336,65.631,2.9384,1.555
dihydroquercetin,leaf,96h,3.477,2.145,0.6169,-0.6969
